GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O75752	B3GALNT1	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0000221|PANTHER:PTN000130250|UniProtKB:Q7Z7M8|UniProtKB:Q9BYG0|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
UniProtKB	O75752	B3GALNT1	enables	GO:0008532	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130272|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
UniProtKB	O75752	B3GALNT1	enables	GO:0008376	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130250|WB:WBGene00000270	9606	GO_Central		20170511
UniProtKB	O75752	B3GALNT1	enables	GO:0016758	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002659	9606	InterPro		20201205
UniProtKB	O75752	B3GALNT1	enables	GO:0047273	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.79	9606	UniProt		20201205
UniProtKB	O75752	B3GALNT1	enables	GO:0047273	F	ECO:0000304	TAS	Reactome:R-HSA-8878914		9606	Reactome		20160715
UniProtKB	O75752	B3GALNT1	enables	GO:0008499	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q920V1|ensembl:ENSMUSP00000058363	9606	Ensembl		20201205
UniProtKB	O75795	UGT2B17	enables	GO:0015020	F	ECO:0000314	IDA	PMID:18719240		9606	UniProt		20201019
UniProtKB	O75795	UGT2B17	enables	GO:0015020	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.17	9606	UniProt		20201205
UniProtKB	O75795	UGT2B17	enables	GO:0015020	F	ECO:0000314	IDA	PMID:22579593		9606	UniProt	has_input(CHEBI:28790)	20140529
UniProtKB	O94766	B3GAT3	enables	GO:0015018	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0032135|FB:FBgn0036144|FB:FBgn0066114|PANTHER:PTN000855563|RGD:620903|RGD:70880	9606	GO_Central		20170228
UniProtKB	O94766	B3GAT3	enables	GO:0015020	F	ECO:0000314	IDA	PMID:25893793		9606	UniProt		20160120
UniProtKB	O94766	B3GAT3	enables	GO:0015018	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005027	9606	InterPro		20201205
UniProtKB	O94766	B3GAT3	enables	GO:0015018	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.135	9606	UniProt		20201205
